DATE,sales
1/1/1992,6938
2/1/1992,7524
3/1/1992,8475
4/1/1992,9401
5/1/1992,9558
6/1/1992,9182
7/1/1992,9103
8/1/1992,10513
9/1/1992,9573
10/1/1992,10254
11/1/1992,11187
12/1/1992,18395
1/1/1993,7502
2/1/1993,7524
3/1/1993,8766
4/1/1993,9867
5/1/1993,10063
6/1/1993,9635
7/1/1993,9794
8/1/1993,10628
9/1/1993,10013
10/1/1993,10346
11/1/1993,11760
12/1/1993,18851
1/1/1994,7280
2/1/1994,7902
3/1/1994,9921
4/1/1994,9869
5/1/1994,10009
6/1/1994,9893
7/1/1994,9735
8/1/1994,11157
9/1/1994,10217
10/1/1994,10730
11/1/1994,12354
12/1/1994,20016
1/1/1995,7518
2/1/1995,7961
3/1/1995,9815
4/1/1995,10168
5/1/1995,10620
6/1/1995,10301
7/1/1995,9784
8/1/1995,11264
9/1/1995,10710
10/1/1995,10439
11/1/1995,12751
12/1/1995,20002
1/1/1996,7684
2/1/1996,8991
3/1/1996,10349
4/1/1996,10570
5/1/1996,11405
6/1/1996,10554
7/1/1996,10202
8/1/1996,12134
9/1/1996,10623
10/1/1996,11250
11/1/1996,12875
12/1/1996,19944
1/1/1997,8194
2/1/1997,8835
3/1/1997,10840
4/1/1997,10131
5/1/1997,11505
6/1/1997,10654
7/1/1997,10734
8/1/1997,12461
9/1/1997,10942
10/1/1997,11635
11/1/1997,13244
12/1/1997,21118
1/1/1998,8800
2/1/1998,9499
3/1/1998,10863
4/1/1998,11825
5/1/1998,12239
6/1/1998,11451
7/1/1998,11633
8/1/1998,12971
9/1/1998,11214
10/1/1998,12384
11/1/1998,13854
12/1/1998,22418
1/1/1999,9237
2/1/1999,10171
3/1/1999,12081
4/1/1999,12386
5/1/1999,13167
6/1/1999,12280
7/1/1999,12461
8/1/1999,13734
9/1/1999,12357
10/1/1999,12948
11/1/1999,14643
12/1/1999,24286
1/1/2000,9447
2/1/2000,11170
3/1/2000,12841
4/1/2000,13124
5/1/2000,13735
6/1/2000,12953
7/1/2000,12500
8/1/2000,14610
9/1/2000,13375
10/1/2000,13369
11/1/2000,15675
12/1/2000,24875
1/1/2001,10060
2/1/2001,11450
3/1/2001,13067
4/1/2001,13362
5/1/2001,13787
6/1/2001,12935
7/1/2001,12600
8/1/2001,14818
9/1/2001,12104
10/1/2001,13218
11/1/2001,15352
12/1/2001,24534
1/1/2002,10344
2/1/2002,11730
3/1/2002,13977
4/1/2002,13195
5/1/2002,14150
6/1/2002,13210
7/1/2002,12873
8/1/2002,15113
9/1/2002,12445
10/1/2002,14006
11/1/2002,15911
12/1/2002,25350
1/1/2003,10804
2/1/2003,11662
3/1/2003,13452
4/1/2003,13691
5/1/2003,14730
6/1/2003,13496
7/1/2003,13854
8/1/2003,15522
9/1/2003,13567
10/1/2003,14601
11/1/2003,16555
12/1/2003,26760
1/1/2004,11790
2/1/2004,13344
3/1/2004,14760
4/1/2004,15058
5/1/2004,15379
6/1/2004,14237
7/1/2004,14667
8/1/2004,15588
9/1/2004,14224
10/1/2004,15570
11/1/2004,17230
12/1/2004,28406
1/1/2005,12046
2/1/2005,13878
3/1/2005,15727
4/1/2005,15708
5/1/2005,15989
6/1/2005,15559
7/1/2005,15218
8/1/2005,16697
9/1/2005,14960
10/1/2005,16509
11/1/2005,18402
12/1/2005,30276
1/1/2006,12893
2/1/2006,14474
3/1/2006,16386
4/1/2006,16848
5/1/2006,17103
6/1/2006,16505
7/1/2006,16275
8/1/2006,17832
9/1/2006,16767
10/1/2006,17253
11/1/2006,19391
12/1/2006,31462
1/1/2007,13927
2/1/2007,15077
3/1/2007,18045
4/1/2007,17096
5/1/2007,18474
6/1/2007,17289
7/1/2007,16883
8/1/2007,18850
9/1/2007,16765
10/1/2007,17614
11/1/2007,20550
12/1/2007,30635
1/1/2008,14173
2/1/2008,15876
3/1/2008,17770
4/1/2008,17103
5/1/2008,19084
6/1/2008,17007
7/1/2008,17369
8/1/2008,19041
9/1/2008,15882
10/1/2008,16796
11/1/2008,18756
12/1/2008,26726
1/1/2009,13387
2/1/2009,14684
3/1/2009,15563
4/1/2009,16337
5/1/2009,17264
6/1/2009,15434
7/1/2009,16007
8/1/2009,17656
9/1/2009,15630
10/1/2009,17053
11/1/2009,18332
12/1/2009,27128
1/1/2010,13216
2/1/2010,14816
3/1/2010,17390
4/1/2010,17042
5/1/2010,17727
6/1/2010,16138
7/1/2010,16842
8/1/2010,17923
9/1/2010,16232
10/1/2010,17412
11/1/2010,20003
12/1/2010,28545
1/1/2011,13703
2/1/2011,15931
3/1/2011,18252
4/1/2011,18647
5/1/2011,18771
6/1/2011,17783
7/1/2011,17937
8/1/2011,19263
9/1/2011,17999
10/1/2011,18255
11/1/2011,20957
12/1/2011,31108
1/1/2012,14358
2/1/2012,17931
3/1/2012,20162
4/1/2012,18601
5/1/2012,19952
6/1/2012,18717
7/1/2012,18266
8/1/2012,20750
9/1/2012,18391
10/1/2012,18845
11/1/2012,22016
12/1/2012,31504
1/1/2013,15165
2/1/2013,17397
3/1/2013,20591
4/1/2013,19194
5/1/2013,20803
6/1/2013,18964
7/1/2013,19202
8/1/2013,21591
9/1/2013,18136
10/1/2013,19884
11/1/2013,22472
12/1/2013,31646
1/1/2014,15220
2/1/2014,17552
3/1/2014,20118
4/1/2014,20370
5/1/2014,21626
6/1/2014,19006
7/1/2014,19885
8/1/2014,22055
9/1/2014,18692
10/1/2014,20267
11/1/2014,23551
12/1/2014,32760
1/1/2015,15840
2/1/2015,18079
3/1/2015,20819
4/1/2015,20470
5/1/2015,22239
6/1/2015,19758
7/1/2015,20671
8/1/2015,22424
9/1/2015,19233
10/1/2015,20750
11/1/2015,23122
12/1/2015,33521
1/1/2016,15753
2/1/2016,19011
3/1/2016,21555
4/1/2016,20493
5/1/2016,21752
6/1/2016,20251
7/1/2016,20759
8/1/2016,22479
9/1/2016,19904
10/1/2016,20626
11/1/2016,23800
12/1/2016,34824
1/1/2017,15907
2/1/2017,18020
3/1/2017,21332
4/1/2017,21143
5/1/2017,21945
6/1/2017,20618
7/1/2017,20795
8/1/2017,22775
9/1/2017,19909
10/1/2017,20469
11/1/2017,24560
12/1/2017,33923
1/1/2018,15780
2/1/2018,18424
3/1/2018,22207
4/1/2018,20463
5/1/2018,23560
6/1/2018,21294
7/1/2018,21733
8/1/2018,23121
9/1/2018,19782
10/1/2018,21203
11/1/2018,25364
12/1/2018,33950
1/1/2019,16155
2/1/2019,17961
3/1/2019,22059
4/1/2019,21500
5/1/2019,23079
6/1/2019,21116
7/1/2019,21742
8/1/2019,23829
9/1/2019,19567
10/1/2019,21400
11/1/2019,25170
12/1/2019,35157
1/1/2020,16873
2/1/2020,19232
3/1/2020,10969
4/1/2020,2744
5/1/2020,8787
6/1/2020,16442
7/1/2020,17779
8/1/2020,18968
9/1/2020,18790
10/1/2020,20088
11/1/2020,21287
12/1/2020,32237
1/1/2021,15740
2/1/2021,16568
3/1/2021,24171
4/1/2021,23599
5/1/2021,26503
6/1/2021,25301
7/1/2021,25874
8/1/2021,25745
9/1/2021,23330
10/1/2021,24651
